id,created_at,favorite_count,retweet_count
843856843873095681,Mon Mar 20 16:08:44 +0000 2017,21851,4718
843604394117681152,Sun Mar 19 23:25:35 +0000 2017,17203,2798
843235543001513987,Sat Mar 18 22:59:54 +0000 2017,21931,6144
842846295480000512,Fri Mar 17 21:13:10 +0000 2017,15525,3706
842765311967449089,Fri Mar 17 15:51:22 +0000 2017,6886,1313
842535590457499648,Fri Mar 17 00:38:32 +0000 2017,18459,3582
842163532590374912,Thu Mar 16 00:00:07 +0000 2017,24970,5925
842115215311396866,Wed Mar 15 20:48:07 +0000 2017,14280,3103
841833993020538882,Wed Mar 15 02:10:39 +0000 2017,0,15533
841680585030541313,Tue Mar 14 16:01:03 +0000 2017,26217,7960
841439858740625411,Tue Mar 14 00:04:30 +0000 2017,12914,3770
841320156043304961,Mon Mar 13 16:08:50 +0000 2017,20205,5615
841314665196081154,Mon Mar 13 15:47:01 +0000 2017,16161,4783
841077006473256960,Mon Mar 13 00:02:39 +0000 2017,23347,5442
840761248237133825,Sun Mar 12 03:07:56 +0000 2017,0,1799
840728873075638272,Sun Mar 12 00:59:17 +0000 2017,0,16559
840698636975636481,Sat Mar 11 22:59:09 +0000 2017,179,2
840696689258311684,Sat Mar 11 22:51:24 +0000 2017,12547,998
840632337062862849,Sat Mar 11 18:35:42 +0000 2017,9180,1799
840370681858686976,Sat Mar 11 01:15:58 +0000 2017,16829,4670
840268004936019968,Fri Mar 10 18:27:58 +0000 2017,19714,5869
839990271299457024,Fri Mar 10 00:04:21 +0000 2017,13726,2347
839549326359670784,Wed Mar 08 18:52:12 +0000 2017,28127,7972
839290600511926273,Wed Mar 08 01:44:07 +0000 2017,0,146
839239871831150596,Tue Mar 07 22:22:32 +0000 2017,27840,6695
838952994649550848,Tue Mar 07 03:22:35 +0000 2017,20084,4094
838921590096166913,Tue Mar 07 01:17:48 +0000 2017,11426,2111
838916489579200512,Tue Mar 07 00:57:32 +0000 2017,0,35
838831947270979586,Mon Mar 06 19:21:35 +0000 2017,0,11322
838561493054533637,Mon Mar 06 01:26:54 +0000 2017,11179,1367
